epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,2205.45,1.09744,1.14739,0.99611,0.62049,0.46126,0.54173,0.34881,1.26147,1.22086,1.03628,0.000154982,0.000154982,0.000154982
62,2240.02,1.11451,1.11329,1.01147,0.64929,0.45297,0.54794,0.3552,1.26095,1.21206,1.03356,0.00014151,0.00014151,0.00014151
63,2276.18,1.0601,1.0832,0.97375,0.75228,0.43116,0.55672,0.36002,1.25388,1.20182,1.02923,0.000128599,0.000128599,0.000128599
64,2311.47,1.04778,1.10367,0.97431,0.77205,0.4261,0.5559,0.3584,1.2578,1.19955,1.03094,0.000116268,0.000116268,0.000116268
65,2347.52,1.10878,1.08308,0.9798,0.73611,0.44152,0.5563,0.35882,1.25531,1.19619,1.03192,0.000104537,0.000104537,0.000104537
66,2383,1.09694,1.13106,0.98165,0.70451,0.45003,0.55729,0.35822,1.25899,1.199,1.03451,9.34225e-05,9.34225e-05,9.34225e-05
67,2418.6,1.04529,1.09973,0.98222,0.73565,0.42422,0.55452,0.35571,1.26183,1.20287,1.03468,8.29431e-05,8.29431e-05,8.29431e-05
68,2454.45,1.07183,1.06947,0.96681,0.7402,0.4275,0.55655,0.35768,1.26025,1.20641,1.03293,7.31145e-05,7.31145e-05,7.31145e-05
69,2490.84,1.09793,1.09069,0.97459,0.63582,0.46009,0.55735,0.35765,1.25879,1.20219,1.03133,6.39518e-05,6.39518e-05,6.39518e-05
70,2527.84,1.03628,1.04453,0.95465,0.6389,0.46173,0.55304,0.35416,1.26948,1.19829,1.03109,5.54691e-05,5.54691e-05,5.54691e-05
71,2563.72,1.02436,1.07823,0.9574,0.67211,0.4527,0.55209,0.35135,1.26549,1.20934,1.0352,4.76796e-05,4.76796e-05,4.76796e-05
72,2597.84,0.99692,1.03282,0.9581,0.68131,0.4587,0.54815,0.35126,1.26236,1.21872,1.03376,4.05953e-05,4.05953e-05,4.05953e-05
73,2633.61,1.04411,1.05203,0.97097,0.67604,0.46387,0.54797,0.3507,1.26245,1.21766,1.03389,3.4227e-05,3.4227e-05,3.4227e-05
74,2669.24,1.00368,1.04877,0.95114,0.68121,0.45792,0.54901,0.35063,1.2586,1.21369,1.0332,2.85847e-05,2.85847e-05,2.85847e-05
75,2703.16,1.03485,1.05517,0.95475,0.68673,0.4552,0.55007,0.35442,1.25222,1.21163,1.03219,2.36769e-05,2.36769e-05,2.36769e-05
76,2739.78,1.0403,1.03365,0.94407,0.67915,0.4585,0.5506,0.3537,1.25173,1.20924,1.03122,1.95113e-05,1.95113e-05,1.95113e-05
77,2780.22,1.0334,1.05417,0.95448,0.68206,0.45535,0.55073,0.35555,1.24718,1.20967,1.02995,1.60943e-05,1.60943e-05,1.60943e-05
78,2825.26,0.98952,1.07187,0.96983,0.70076,0.45132,0.55177,0.35941,1.24224,1.20674,1.02854,1.34311e-05,1.34311e-05,1.34311e-05
79,2878.08,1.00942,1.02108,0.95306,0.71657,0.4367,0.55236,0.35759,1.24432,1.20688,1.03015,1.15259e-05,1.15259e-05,1.15259e-05
80,2937.45,1.0029,1.02643,0.95923,0.71346,0.4389,0.55285,0.35772,1.24857,1.20632,1.03174,1.03816e-05,1.03816e-05,1.03816e-05
