                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 0.1878,                0.77991,                0.88079,                0.97637,                      1,                  0.995,                  0.995,                0.12054,                0.85072,                0.75305,             0.00031816,             0.00031816,             0.00031816
                     58,                0.22001,                  0.805,                0.90852,                0.97358,                0.98912,                  0.995,                  0.995,                0.10625,                0.92067,                0.75001,             0.00031109,             0.00031109,             0.00031109
                     59,                0.18272,                0.76701,                0.89337,                0.97554,                0.97997,                  0.995,                  0.995,                0.10766,                0.92187,                 0.7494,             0.00030402,             0.00030402,             0.00030402
                     60,                 0.2493,                0.83891,                 0.9239,                0.97525,                      1,                  0.995,                  0.995,                0.10201,                 0.8596,                0.74635,             0.00029695,             0.00029695,             0.00029695
                     61,                0.19659,                0.74486,                 0.8768,                0.97726,                      1,                  0.995,                  0.995,                 0.1036,                0.83349,                0.74408,             0.00028988,             0.00028988,             0.00028988
                     62,                0.19838,                0.71982,                0.87747,                0.97552,                      1,                  0.995,                  0.995,                0.10934,                0.80711,                0.74623,             0.00028282,             0.00028282,             0.00028282
                     63,                0.19926,                0.71681,                0.90198,                0.97691,                      1,                  0.995,                  0.995,                0.12035,                0.81501,                0.74865,             0.00027575,             0.00027575,             0.00027575
                     64,                0.18742,                0.79405,                0.88313,                0.97717,                      1,                  0.995,                  0.995,                0.10318,                0.79476,                0.74418,             0.00026868,             0.00026868,             0.00026868
                     65,                0.20373,                0.74902,                0.89348,                0.97679,                0.99979,                  0.995,                  0.995,                0.09447,                0.79005,                0.74324,             0.00026161,             0.00026161,             0.00026161
                     66,                0.20226,                0.80829,                0.88668,                0.97266,                      1,                  0.995,                  0.995,                0.09292,                0.80487,                0.74482,             0.00025454,             0.00025454,             0.00025454
                     67,                0.19462,                0.73388,                0.89146,                0.96316,                      1,                  0.995,                  0.995,                0.10177,                 0.8361,                0.75047,             0.00024747,             0.00024747,             0.00024747
                     68,                0.17281,                0.67407,                0.87216,                0.96397,                      1,                  0.995,                  0.995,                0.10374,                0.85266,                0.75192,              0.0002404,              0.0002404,              0.0002404
                     69,                0.18952,                0.77615,                0.89452,                0.96897,                      1,                  0.995,                  0.995,                0.10575,                0.82171,                0.75042,             0.00023334,             0.00023334,             0.00023334
                     70,                 0.1864,                0.70593,                0.86647,                0.97949,                      1,                  0.995,                  0.995,                0.09086,                 0.7848,                0.74214,             0.00022627,             0.00022627,             0.00022627
                     71,                0.20075,                0.69644,                 0.9064,                0.97717,                      1,                  0.995,                  0.995,                0.08244,                0.74228,                0.74029,              0.0002192,              0.0002192,              0.0002192
                     72,                0.19707,                0.76137,                0.88326,                0.97281,                      1,                  0.995,                  0.995,                 0.0813,                0.72618,                 0.7415,             0.00021213,             0.00021213,             0.00021213
                     73,                0.17812,                0.73557,                0.88099,                0.97115,                      1,                  0.995,                  0.995,                0.08413,                0.72388,                0.74164,             0.00020506,             0.00020506,             0.00020506
                     74,                0.18216,                0.68685,                0.89638,                0.96792,                      1,                  0.995,                  0.995,                0.09062,                0.73797,                0.74128,             0.00019799,             0.00019799,             0.00019799
                     75,                0.16792,                 0.7012,                0.86172,                0.96803,                      1,                  0.995,                  0.995,                0.09264,                0.74208,                0.73953,             0.00019092,             0.00019092,             0.00019092
                     76,                0.17368,                0.67392,                0.87041,                0.97155,                      1,                  0.995,                  0.995,                0.08761,                0.71737,                0.73795,             0.00018385,             0.00018385,             0.00018385
                     77,                0.20126,                0.71553,                0.87458,                0.97425,                      1,                  0.995,                  0.995,                 0.0871,                0.71201,                0.73766,             0.00017679,             0.00017679,             0.00017679
